MFCC_1_m,MFCC_2_m,MFCC_3_m,MFCC_4_m,MFCC_5_m,MFCC_6_m,MFCC_7_m,MFCC_8_m,MFCC_9_m,MFCC_10_m,MFCC_11_m,MFCC_12_m,MFCC_13_m,MFCC_1_v,MFCC_2_v,MFCC_3_v,MFCC_4_v,MFCC_5_v,MFCC_6_v,MFCC_7_v,MFCC_8_v,MFCC_9_v,MFCC_10_v,MFCC_11_v,MFCC_12_v,MFCC_13_v,OUTPUT
-409.23355144427916,95.17242115521368,26.971322602888247,43.20156876957321,13.713917846311578,4.171071685325802,-18.88247317532955,-0.5038718984208919,4.714296776201843,-9.758226756851256,-3.3570616183248436,1.3764021560101705,0.04634035004494635,84.6291463120363,63.87850560676477,30.51589065409087,39.32067198480697,21.43569218235667,17.991258782680973,26.02102041942091,12.520518636396153,10.835408001231679,18.643949451803685,13.235517045665107,7.805547752606033,9.209707750671557,0
-426.10604548987396,108.43788688251144,38.655204742643676,48.4766453664175,6.066604133660101,-1.467976326684359,-20.59163673761304,-4.384560674049576,2.2014160125600766,0.6515250131671099,0.3006159439828156,-1.6359824803177851,0.2745775937730099,84.04001815919807,65.83684410285224,40.68794168722001,35.79575650628654,28.34059854734374,23.906878607679342,22.447113543556426,16.14555541247891,14.592268270174529,14.423560830560813,11.498389995309756,13.031166533356313,11.394180783702902,0
-344.71095943864566,109.11870270946865,16.926360467099762,52.960039913942886,-9.1694250932696,-13.497099393136867,5.753011115563384,1.8317132489033114,-13.402441428167402,1.2621250016373673,-1.5935837600551481,-3.4380949705748027,-2.307078801506743,113.40958189237892,72.9808513879591,43.74341273633136,37.530755413951226,31.418347682051554,33.31191382061914,16.950405747904107,14.841816873634544,16.873423941045733,13.823664376287597,15.232646370495063,11.94548411347086,10.188936673200853,0
-653.9905249452675,129.99384599843657,22.854716227164563,47.45151898420735,19.425137996395147,-3.5191267409713083,-15.467632509983545,4.972797031232241,-4.946226785980637,-5.6694120729944135,-3.981171710557843,-4.276103169757433,-0.5757428987194816,74.95317666928831,69.08259457086479,37.562668666617775,37.42639953492093,31.343201991156292,30.528005331177308,18.54818298647638,14.44074482056369,15.204885190068623,14.726691418270665,13.215731217551868,12.43410143724255,11.206448997994142,0
-385.79161117087136,109.20238676252178,18.21352812045713,27.5064224587625,19.109799454463207,4.671183115703479,-21.810400197826013,-1.4163906468685956,0.5306656484368455,-12.414120010796625,2.2281951617337596,2.2457704181232967,-4.740435691754554,92.46932306749862,59.810643997877165,31.304761572917826,33.90114073679923,22.481714821332236,18.895808435707927,22.96720631702076,10.952061061356945,12.011405103589361,15.773593254246423,12.719128841712324,8.264563330905677,9.623642874626794,0
-438.0175647549851,135.81318908922995,24.52831992903859,29.08858522425039,2.7477143483174657,1.259731822560559,-13.73113417171094,-2.838767106360492,-0.26382009212637336,2.155711377751553,4.677600145198136,0.732066743608601,0.8410681076127802,103.0067698624432,66.70533454590995,38.80469491099056,29.32448308689437,26.93152419463383,19.89146824515388,19.306728785431655,12.40837063268928,12.064623222874385,11.258046950444905,11.783913791796774,9.291084837926064,12.883595091680377,0
-327.4817906415072,114.75448124203673,7.4478549426200145,30.032823146485867,-4.389280763420337,-11.715604935100925,6.558133154838291,-0.45375180818963495,-8.890171060036748,3.344159183608482,1.090827089656662,-1.6712407767044335,0.12355116058133732,127.51437130254098,67.59995049384554,43.16557241873914,29.03967747810337,33.01182239590322,27.737625082207447,16.489576192075525,11.6707882657167,15.939277260867987,11.686847882613472,13.415227729061648,10.104158345381737,8.833878725481096,0
-654.3248619735847,154.29536909578965,31.38437419616405,18.990318386870012,6.7218805035055045,-0.9432555691659181,-3.023232875998892,1.4943748729921915,-6.349364390467145,-8.34300109716417,-5.010252301145373,-1.9155842476672698,5.8438690120122585,84.18416549776782,61.75774881189744,26.0648771624295,21.414987802395025,21.85792569505731,20.28439294213852,14.426685234276748,13.74114659300333,15.571127811858162,14.22571946016704,10.82686098169712,10.397918311681098,9.156188072622797,0
-434.86992222129027,98.56596435162825,25.44497143261313,31.652937185474016,17.464699464403363,0.1780694407324678,-12.980959630247948,3.9728783716288296,5.524378493843863,-7.384872532814256,1.8380821254971755,4.52536808620933,0.00810368814151486,100.73354105291929,57.54287799678646,30.567036426668654,31.179551653017633,19.501075637607546,14.669368381424372,23.313644121645616,9.25753842286558,10.071638194654637,16.802003725963033,13.070675833295855,8.221306594158243,8.941607376901752,0
-499.08625722855396,121.567376903786,37.6165722464132,23.9656555536768,5.169647763679732,-0.329904990970635,-7.932504152712847,1.6876691750693023,1.9966306551038893,3.662509513358923,3.429998051366417,-1.4457249750291257,1.0771443065896522,88.14470152319078,46.568639021498036,30.790068575163158,22.01725129293878,25.068824989940484,20.285822726432382,24.792517201485115,11.338359899567928,13.218949875238467,13.796836626513109,11.718855536629825,11.89448139278259,9.958910113536955,0
